,Title,Year,Id,Overview,TMDB_Id,Average_vote,Popularity,Revenue,Budget,Genre,Keywords,Cast,Director,Poster
0,Mr Joe B. Carvalho,2014.0,tt2876408,A small time detective is hired to bring back the daughter of a businessman who has run away from home with the house chef.,250726.0,3.1,1.832,,,['Comedy'],[],"['Arshad Warsi', 'Soha Ali Khan', 'Javed Jaffrey']",,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/ojSEyRapOfQBuyofrOwyMXoP244.jpg
1,Sholay 3D,2014.0,tt0073707,"After his family is murdered by a notorious and ruthless bandit who has been terrorising his village, a former police officer enlists the services of two outlaws to capture him.",12259.0,6.979,16.705,4800000.0,408000.0,['Action'],"['police', 'fight', 'village', 'bandit']","['Amitabh Bachchan', 'Om Shivpuri', 'Amjad Khan']",Ramesh Sippy,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/3NdhVyXOVkVAYCHImd6WOOFLyCx.jpg
2,Dedh Ishqiya,2014.0,tt2675978,A team of con men fall for a Begum and her female confidante. Does their love fructify?,248698.0,6.5,11.377,,,"['Comedy', 'Drama', 'Romance']",[],"['Vijay Raaz', 'Naseeruddin Shah', 'Manoj Pahwa']",Vishal Bhardwaj,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/r6KLehJgkGUBFBS1geBOZIlPozm.jpg
3,Yaariyan,2014.0,tt3382148,A college student must win an inter college competition to save his college from being demolished by property builders.,252053.0,3.222,3.705,100.0,10.0,"['Drama', 'Romance']","['competition', 'college']","['Rakul Preet Singh', 'Gulshan Grover', 'Evelyn Sharma']",,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/fZmL1C67pA0OHLGPITt0d2IODnM.jpg
4,Karle Pyaar Karle,2014.0,tt3465488,"Karle Pyaar Karle is an adrenaline gushing, action packed, edgy love story of two rebels, Kabir & Preet, playing the game of life.",252051.0,0.0,3.592,,,"['Action', 'Romance']",[],"['Hasleen Kaur', 'Shiv Darshan', 'Aham Sharma']",Suneel Darshan,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/yEhAVj9OtajyrP6RRX0aSgFYTqN.jpg
5,Miss Lovely,2014.0,tt1629715,"A Hindi feature film set in the lower depths of Bombay's ""C"" grade film industry. Miss Lovely follows the devastating story of two brothers who produce sleazy horror films in the mid-1980s.",126318.0,6.2,10.418,,,"['Drama', 'Crime']","['gangster', 'mumbai (bombay), india', 'murder', 'brother brother relationship', 'projection booth']","['Nawazuddin Siddiqui', 'Anil George', 'Kalpana']",Ashim Ahluwalia,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/u2fzSN0JzNNoKj5MevilNkvTevg.jpg
6,Om-Dar-B-Dar,2014.0,tt0246825,A carefully constructed nonsense about a teenage boy named Om in a small Indian village.,242618.0,6.8,4.036,,,"['Drama', 'Fantasy', 'Comedy']",[],"['Aditya Lakhia', 'Anita Kanwar', 'Lalit Tiwari']",Kamal Swaroop,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/zb0dUPtNoAzfPswbVRWk2EFeEAw.jpg
7,Paranthe Wali Gali,2014.0,tt2907156,"A romance between a Sikh girl Naina Kaur and a Rajasthan boy Maulik.  The feature film will highlight the vibrant culture of a place which was once the hub of life during the Mughal rule.The film has been named after Paranthe Wali Gali, Old Delhi's famous by-lane known for its wide array of tempting paranthas, because the place will be shown as a backdrop of the film.",260444.0,4.0,1.058,,,"['Romance', 'Drama']",[],[],,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/vXQsDcEnhVptIfvubyKHUPdQNjR.jpg
8,Strings of Passion,2014.0,tt1867064,"Strings Of Passion is an urban commercial flick which tells the story of three men, Neel, Aman and Amit. They are young and dynamic guys who run the band ""Strings of Passion"" but are shadowed by the influence of drugs, broken love and bad parenting.",396539.0,0.0,3.031,,,['Drama'],"['mumbai (bombay), india', 'bad parenting']","['Zeenat Aman', 'Rajesh Sharma', 'Indrani Haldar']",Sanghamitra Chaudhuri,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/n3laIegQYjW03Rq0GCtIKpEszVw.jpg
9,Jai Ho,2014.0,tt1188982,"An upright ex-army man, Jai fights a solitary war against corruption and injustice. With a simple mantra to pay forward, he starts off by helping one person and forms an ever growing circle of people helping each other.",244237.0,5.0,10.878,,,"['Action', 'Drama']","['war of independence', 'political correctness']","['Salman Khan', 'Tabu', ""Genelia D'Souza""]",A.R. Murugadoss,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/dZ4x35tDXd6iXvrpuXPP4psERG.jpg
